ID_Envio;Guia_Aerea;Aerolinea;Origen;Destino;Fecha_Estimada;Fecha_Real;Estado;Incidencia; Valor_Carga ;Dias_Retraso;Cumplimiento de arribo
46;AWB1046;LATAM Cargo;Madrid;Bogotá;24/02/2026;26/02/2026;Retrasado;Retraso documental; $ 23.000 ;2;0
47;AWB1047;DHL Aviation;Ciudad de México;Bogotá;24/02/2026;24/02/2026;Entregado;Sin novedad; $ 8.900 ;0;1
48;AWB1048;Copa Cargo;Panamá;Bogotá;25/02/2026;25/02/2026;Arribado;Sin novedad; $ 7.200 ;0;1
49;AWB1049;Avianca Cargo;Lima;Bogotá;25/02/2026;27/02/2026;Retrasado;Retraso por clima; $ 25.500 ;2;0
50;AWB1050;LATAM Cargo;Santiago;Bogotá;26/02/2026;26/02/2026;Entregado;Sin novedad; $ 14.800 ;0;1
51;AWB1051;DHL Aviation;Quito;Bogotá;26/02/2026;26/02/2026;Entregado;Sin novedad; $ 9.200 ;0;1
52;AWB1052;Copa Cargo;San José;Bogotá;27/02/2026;28/02/2026;En aduana;Inspección aduanera; $ 11.300 ;1;0
53;AWB1053;Avianca Cargo;Miami;Bogotá;27/02/2026;27/02/2026;Entregado;Sin novedad; $ 14.100 ;0;1
54;AWB1054;LATAM Cargo;Madrid;Bogotá;28/02/2026;01/03/2026;Retrasado;Retraso documental; $ 21.000 ;1;0
55;AWB1055;DHL Aviation;Nueva York;Bogotá;28/02/2026;28/02/2026;Entregado;Sin novedad; $ 17.200 ;0;1
56;AWB1056;Copa Cargo;Panamá;Bogotá;01/03/2026;01/03/2026;Arribado;Sin novedad; $ 7.600 ;0;1
57;AWB1057;Avianca Cargo;Buenos Aires;Bogotá;01/03/2026;03/03/2026;Retrasado;Retraso por clima; $ 29.500 ;2;0
58;AWB1058;LATAM Cargo;Lima;Bogotá;02/03/2026;02/03/2026;Entregado;Sin novedad; $ 9.800 ;0;1
59;AWB1059;DHL Aviation;Quito;Bogotá;02/03/2026;02/03/2026;Entregado;Sin novedad; $ 8.700 ;0;1
60;AWB1060;Copa Cargo;San José;Bogotá;03/03/2026;04/03/2026;En aduana;Inspección aduanera; $ 12.500 ;1;0
61;AWB1061;Avianca Cargo;Miami;Bogotá;03/03/2026;03/03/2026;Entregado;Sin novedad; $ 15.000 ;0;1
62;AWB1062;LATAM Cargo;Madrid;Bogotá;04/03/2026;06/03/2026;Retrasado;Retraso documental; $ 24.000 ;2;0
63;AWB1063;DHL Aviation;Nueva York;Bogotá;04/03/2026;04/03/2026;Entregado;Sin novedad; $ 16.200 ;0;1
64;AWB1064;Copa Cargo;Panamá;Bogotá;05/03/2026;05/03/2026;Arribado;Sin novedad; $ 8.100 ;0;1
65;AWB1065;Avianca Cargo;Lima;Bogotá;05/03/2026;07/03/2026;Retrasado;Retraso por clima; $ 27.000 ;2;0
66;AWB1066;LATAM Cargo;Santiago;Bogotá;06/03/2026;06/03/2026;Entregado;Sin novedad; $ 15.800 ;0;1
67;AWB1067;DHL Aviation;Ciudad de México;Bogotá;06/03/2026;06/03/2026;Entregado;Sin novedad; $ 9.400 ;0;1
68;AWB1068;Copa Cargo;Panamá;Bogotá;07/03/2026;08/03/2026;En aduana;Inspección aduanera; $ 11.900 ;1;0
69;AWB1069;Avianca Cargo;Miami;Bogotá;07/03/2026;07/03/2026;Entregado;Sin novedad; $ 14.300 ;0;1
70;AWB1070;LATAM Cargo;Madrid;Bogotá;08/03/2026;10/03/2026;Retrasado;Retraso documental; $ 25.000 ;2;0
